feature,standardized_coefficient,train_mean,train_std,abs_standardized_coefficient
ap_hi,0.8044892972472705,126.68233971222122,16.69694144377155,0.8044892972472705
age_years,0.334598889308729,53.328879330194454,6.7450363025654205,0.334598889308729
cholesterol,0.3240709020427296,1.3630552027153655,0.6778422371822057,0.3240709020427296
ap_lo,0.17493223051893092,81.310663640339,9.436037212012856,0.17493223051893092
weight,0.08496045010092902,74.09426608083628,14.281430248431896,0.08496045010092902
active,-0.07993036436989323,0.8012410719863399,0.39906618066268434,0.07993036436989323
bmi,0.07769588083631783,27.451465133738505,5.236664529077372,0.07769588083631783
gluc,-0.05792660101808881,1.2249963559127919,0.5700226800982795,0.05792660101808881
alco,-0.05020000268709054,0.05257897257564084,0.22319145193877654,0.05020000268709054
smoke,-0.037107434532828665,0.08718738937592403,0.2821094619286927,0.037107434532828665
gender,-0.0014528055297763779,1.3470836890656561,0.4760426470920811,0.0014528055297763779
height,-0.0001701523695009772,164.40568061137373,7.916687319822551,0.0001701523695009772
