group_col,group_value,error_type,rows,share_within_group
bp_band,<120,FN,594,0.19475409836065574
bp_band,<120,FP,58,0.01901639344262295
bp_band,<120,TN,2301,0.7544262295081967
bp_band,<120,TP,97,0.03180327868852459
bp_band,120-129,FN,1811,0.25226354645493804
bp_band,120-129,FP,503,0.07006546872823513
bp_band,120-129,TN,4145,0.5773784649672656
bp_band,120-129,TP,720,0.10029251984956122
bp_band,130-139,FN,246,0.10490405117270789
bp_band,130-139,FP,606,0.2584221748400853
bp_band,130-139,TN,336,0.14328358208955225
bp_band,130-139,TP,1157,0.4933901918976546
bp_band,>=140,FN,0,0.0
bp_band,>=140,FP,718,0.15683704674530363
bp_band,>=140,TN,0,0.0
bp_band,>=140,TP,3860,0.8431629532546964
age_band,<40,FN,0,0.0
age_band,<40,FP,0,0.0
age_band,<40,TN,1,1.0
age_band,<40,TP,0,0.0
age_band,40-49,FN,632,0.14629629629629629
age_band,40-49,FP,197,0.04560185185185185
age_band,40-49,TN,2582,0.5976851851851852
age_band,40-49,TP,909,0.21041666666666667
age_band,50-59,FN,1594,0.1824216067750057
age_band,50-59,FP,893,0.10219729915312428
age_band,50-59,TN,3551,0.40638590066376745
age_band,50-59,TP,2700,0.30899519340810255
age_band,>=60,FN,425,0.10383581724896164
age_band,>=60,FP,795,0.19423405814805766
age_band,>=60,TN,648,0.1583190813584168
age_band,>=60,TP,2225,0.5436110432445639
gender,1,FN,1695,0.15329655421904675
gender,1,FP,1215,0.10988514063489192
gender,1,TN,4393,0.3973048747399837
gender,1,TP,3754,0.3395134304060776
gender,2,FN,956,0.15684987694831828
gender,2,FP,670,0.10992616899097621
gender,2,TN,2389,0.39196062346185395
gender,2,TP,2080,0.3412633305988515
cholesterol,1,FN,2264,0.1761182419292104
cholesterol,1,FP,1160,0.09023726176584987
cholesterol,1,TN,6097,0.47429015947102293
cholesterol,1,TP,3334,0.2593543368339168
cholesterol,2,FN,334,0.14015946286193873
cholesterol,2,FP,343,0.1439362148552245
cholesterol,2,TN,618,0.2593369702056232
cholesterol,2,TP,1088,0.4565673520772136
cholesterol,3,FN,53,0.027690700104493208
cholesterol,3,FP,382,0.19958202716823406
cholesterol,3,TN,67,0.03500522466039707
cholesterol,3,TP,1412,0.7377220480668757
