dataset,model,rows,mean_predicted_risk,observed_rate,min_predicted_risk,max_predicted_risk,abs_calibration_error
heart_processed,hist_gradient_boosting,23,0.0009520904030526694,0.0,5.192914807892584e-05,0.0019916934906330733,0.0009520904030526694
heart_processed,hist_gradient_boosting,23,0.0037024984380620834,0.0,0.002016956699521639,0.006732918458170045,0.0037024984380620834
heart_processed,hist_gradient_boosting,23,0.022323009362932113,0.17391304347826086,0.007917786555478833,0.046181849688969316,0.15159003411532876
heart_processed,hist_gradient_boosting,23,0.12575919449780754,0.2608695652173913,0.057535303321566686,0.21201208479206515,0.13511037071958376
heart_processed,hist_gradient_boosting,23,0.4673274301491208,0.4782608695652174,0.21385417092505124,0.7235797568900602,0.010933439416096591
heart_processed,hist_gradient_boosting,23,0.8302684419547682,0.782608695652174,0.7337695273789024,0.8974768408700357,0.047659746302594286
heart_processed,hist_gradient_boosting,23,0.9378351190879317,0.9130434782608695,0.9000831853373986,0.9658145629126853,0.0247916408270622
heart_processed,hist_gradient_boosting,23,0.984876987993029,1.0,0.9659888926831875,0.9929195260327426,0.01512301200697097
heart_processed,hist_gradient_boosting,23,0.9964748371480449,0.9565217391304348,0.9934678280861622,0.9984291036479033,0.039953098017610045
heart_processed,hist_gradient_boosting,23,0.9994482920229318,0.9565217391304348,0.9984864839885615,0.999940725938319,0.04292655289249703
