dataset,model,threshold,rows,predicted_positive_rate,accuracy,precision,sensitivity,specificity,f1,tp,tn,fp,fn,predicted_positive,predicted_negative
cardio_clean,hist_gradient_boosting,0.1,17152,0.9771455223880597,0.5144006529850746,0.504653937947494,0.9968179139658221,0.042113764855197876,0.6700732818379878,8458,365,8302,27,16760,392
cardio_clean,hist_gradient_boosting,0.15,17152,0.9185517723880597,0.5600513059701493,0.5298000634719137,0.9837360047142015,0.1452636437060113,0.6886963696369637,8347,1259,7408,138,15755,1397
cardio_clean,hist_gradient_boosting,0.2,17152,0.8702192164179104,0.5941581156716418,0.5510518558220555,0.9693576900412493,0.22683742932964115,0.702661142198112,8225,1966,6701,260,14926,2226
cardio_clean,hist_gradient_boosting,0.25,17152,0.7862639925373134,0.640683302238806,0.5860892777695388,0.9315262227460224,0.35594784815968616,0.7194938782941149,7904,3085,5582,581,13486,3666
cardio_clean,hist_gradient_boosting,0.3,17152,0.6895988805970149,0.6824277052238806,0.6284240784578965,0.8760164997053624,0.4929041190723434,0.7318466006990597,7433,4272,4395,1052,11828,5324
cardio_clean,hist_gradient_boosting,0.35,17152,0.6232509328358209,0.7060984141791045,0.6610851262862488,0.8328815556865056,0.581977616245529,0.7371056062581486,7067,5044,3623,1418,10690,6462
cardio_clean,hist_gradient_boosting,0.4,17152,0.5556203358208955,0.7231226679104478,0.69601259181532,0.7817324690630525,0.6657436252451828,0.7363863447127393,6633,5770,2897,1852,9530,7622
cardio_clean,hist_gradient_boosting,0.45,17152,0.5032066231343284,0.7318097014925373,0.7250608272506083,0.7375368296994697,0.7262028383523711,0.7312456181350783,6258,6294,2373,2227,8631,8521
cardio_clean,hist_gradient_boosting,0.5,17152,0.45003498134328357,0.7355410447761194,0.75579738308071,0.6875662934590454,0.7825083650628822,0.7200691187361146,5834,6782,1885,2651,7719,9433
cardio_clean,hist_gradient_boosting,0.55,17152,0.40934001865671643,0.734258395522388,0.7796610169491526,0.6451384796700059,0.8215068651205722,0.7060492712498387,5474,7120,1547,3011,7021,10131
cardio_clean,hist_gradient_boosting,0.6,17152,0.3611240671641791,0.7293027052238806,0.8101388440426219,0.5913965822038892,0.864312911041883,0.6836977995776279,5018,7491,1176,3467,6194,10958
cardio_clean,hist_gradient_boosting,0.65,17152,0.33173973880597013,0.7205573694029851,0.8244288224956063,0.5528579846788451,0.8847352024922118,0.6618694885361552,4691,7668,999,3794,5690,11462
cardio_clean,hist_gradient_boosting,0.7,17152,0.3125,0.7139109141791045,0.8337686567164179,0.526694166175604,0.897196261682243,0.6455760202239076,4469,7776,891,4016,5360,11792
cardio_clean,hist_gradient_boosting,0.75,17152,0.29792444029850745,0.7083138992537313,0.8407045009784736,0.5063052445492044,0.9060805353640244,0.6319970577418168,4296,7853,814,4189,5110,12042
cardio_clean,hist_gradient_boosting,0.8,17152,0.24387826492537312,0.6787546641791045,0.8556060243844131,0.4218031820860342,0.9303103726779739,0.5650457846542469,3579,8063,604,4906,4183,12969
cardio_clean,hist_gradient_boosting,0.85,17152,0.07101212686567164,0.5590601679104478,0.8784893267651889,0.12610489098408956,0.9829237337025499,0.22055034525404513,1070,8519,148,7415,1218,15934
cardio_clean,hist_gradient_boosting,0.9,17152,0.0,0.5053055037313433,0.0,0.0,1.0,0.0,0,8667,0,8485,0,17152
